,GR1,GR2,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
41,0.0,2.0,2.2,13.4,21.0,19.9,19.1,3.1,3.5,5.6,3.8,6.4,0.0,0.0,15.4,2.12,0.451,SM,0,SM
42,0.0,0.0,0.0,5.4,30.8,26.6,13.4,2.5,4.6,6.6,3.4,6.7,0.0,0.0,16.3,2.11,0.475,SM,0,SM
43,0.0,0.0,0.2,4.9,21.7,31.8,18.2,1.9,4.9,5.1,3.1,8.2,0.0,0.0,17.2,2.1,0.492,SM,0,SM
44,0.0,1.9,6.5,23.2,25.8,11.7,9.3,2.5,6.5,4.3,2.3,6.0,0.0,0.0,14.8,2.13,0.435,SM,3,SM
45,0.0,0.0,0.5,1.5,1.4,11.1,35.9,15.7,13.0,5.7,4.5,10.7,30.8,22.3,26.1,1.94,0.747,SC,8,SC
46,0.0,0.0,0.8,0.7,1.4,33.1,35.9,4.4,5.5,7.2,3.6,7.4,0.0,0.0,18.6,2.06,0.534,SM,6,SM
47,0.0,3.1,0.7,2.8,36.1,26.7,10.8,2.4,4.3,5.0,2.5,5.6,0.0,0.0,15.7,2.12,0.459,SM,0,SM
48,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.4,16.2,19.7,11.7,50.1,55.2,31.1,48.6,1.68,1.363,MH,4,MH
49,0.0,0.0,0.0,0.0,1.0,1.0,2.5,2.8,28.1,22.2,11.4,31.0,61.6,34.1,56.5,1.63,1.577,MH,4,MH
50,0.0,0.0,0.0,0.0,3.1,15.1,40.7,5.9,9.0,8.0,6.7,11.5,25.0,16.9,21.7,2.05,0.607,SC,2,SC
51,0.0,0.0,0.0,0.0,0.4,16.6,40.7,4.4,10.0,5.6,5.7,16.6,25.2,15.9,21.9,2.02,0.627,SC,2,SC
52,0.0,0.0,0.8,9.2,21.4,33.8,14.6,2.0,4.1,3.3,3.1,7.7,0.0,0.0,18.0,2.07,0.526,SM,0,SM
53,0.0,0.0,0.0,0.0,3.9,44.2,24.3,4.7,8.1,3.4,3.2,8.2,0.0,0.0,19.4,2.04,0.567,SM,9,SM
54,0.0,2.1,3.6,16.4,18.8,26.7,14.5,2.1,2.8,4.8,3.1,5.1,0.0,0.0,15.6,2.13,0.451,SM,0,SM
55,0.0,0.0,0.0,3.0,26.8,36.5,9.6,3.5,6.2,5.5,3.6,5.3,0.0,0.0,16.8,2.1,0.483,SM,0,SM
56,0.0,0.0,0.3,3.3,22.5,39.9,13.7,1.9,4.4,4.4,4.0,5.6,0.0,0.0,15.7,2.12,0.459,SM,0,SM
57,0.0,0.0,0.0,0.4,5.7,31.0,28.0,5.5,7.7,7.6,6.3,7.8,0.0,0.0,18.2,2.07,0.531,SM,6,SM
58,0.0,0.0,0.0,0.2,6.7,42.2,21.6,3.4,5.4,5.5,6.3,8.7,0.0,0.0,19.4,2.04,0.567,SM,9,SM
59,0.0,11.5,3.3,11.7,24.7,23.3,12.1,1.3,2.3,3.0,2.1,4.7,0.0,0.0,16.3,2.11,0.475,SM,11,SM
60,0.0,0.4,5.3,23.7,19.3,22.6,12.9,1.9,3.5,1.8,3.1,5.5,0.0,0.0,15.7,2.12,0.459,SM,0,SM
61,0.0,0.5,1.5,8.9,23.4,31.6,17.1,2.5,4.7,1.9,3.0,4.9,0.0,0.0,17.6,2.08,0.508,SM,0,SM
62,0.0,0.4,1.1,2.1,17.5,23.4,22.3,6.1,8.1,6.2,5.6,7.2,0.0,0.0,15.4,2.12,0.451,SM,0,SM
63,0.0,2.9,11.6,14.9,11.3,15.3,23.4,4.1,5.5,2.6,3.1,5.3,0.0,0.0,15.9,2.11,0.467,SM,7,SM
64,0.0,0.6,1.8,4.3,3.7,28.5,38.2,3.7,5.4,2.3,3.8,7.7,0.0,0.0,18.2,2.08,0.523,SM,6,SM
65,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.1,7.8,16.2,11.8,62.1,69.5,27.3,21.8,2.03,0.641,CH,12,CH
66,0.0,0.0,0.0,0.0,0.5,0.2,0.2,1.2,9.1,17.7,11.0,60.1,66.1,26.6,20.2,2.07,0.593,CH,12,CH
67,0.0,0.0,0.0,0.7,0.2,0.2,0.2,0.7,13.1,24.4,13.0,47.5,53.8,25.2,24.3,2.0,0.702,CH,1,CH
68,0.0,1.9,2.1,0.2,0.2,0.9,1.3,1.3,14.8,22.3,11.1,43.9,52.9,22.3,19.5,2.09,0.566,CH,1,CH
69,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.2,3.5,10.9,15.9,68.8,65.8,29.1,22.0,2.04,0.641,CH,12,CH
70,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,10.2,28.1,15.3,45.0,52.7,26.6,20.7,2.06,0.602,CH,1,CH
