,GR1,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,LI,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
28,0,0,0,0,0.7,1.2,1.4,22.4,27.2,12.5,34.6,58.1,27.8,-0.165016502,22.8,2.01,0.665,CH,7,CH
29,0,0,0,0.5,0.9,4.1,4.6,30.2,21.5,6.9,31.3,51.9,26.6,0.128428705,29.7,1.92,0.838,CH,7,CH
30,0,0,0,0,0,0.4,3.5,64,15.1,4,13,44.4,33.5,0.724770642,41.4,1.77,1.136,ML,6,ML
31,0,0,0,0.3,0.3,1.2,3,24.1,19.6,12.1,39.4,76.6,37,1.031149003,77.6,1.51,2.141,MH,0,MH
32,0,0,0,0,0,0.6,1.8,22.8,21.6,10.1,43.1,74.2,39.2,1.045714286,75.8,1.52,2.105,MH,0,MH
33,0,0,0,0,0,0,0.3,13.6,30.6,14.8,40.7,89,43.8,0.949115044,86.7,1.48,2.367,MH,3,MH
34,0,0,0.9,0.9,1.7,8.6,4.9,20.7,19.2,9.6,33.5,90,43.9,0.777336968,78.3,1.5,2.179,(MH)s,0,MH
35,0,0,0,0.9,2.6,6,2.3,16.4,17,14.2,40.6,81.9,42.1,0.800645508,73.3,1.53,2.045,MH,0,MH
36,0,0,0,0,0,0,0.6,13.3,25.6,15.7,44.8,83.8,41.6,0.665876777,69.7,1.56,1.913,MH,3,MH
37,0,0,0,0,0,0,0.3,9.7,25.5,12.9,51.6,83.1,42.7,0.70049505,71,1.54,1.989,MH,3,MH
38,0,0,0,0,0,0,0.9,13,22.9,17.2,46,81.6,40.6,0.682926829,68.6,1.55,1.913,MH,3,MH
39,0,0,0,0,0,0.9,0.6,14.6,21.2,13.2,49.5,80.9,41.4,0.620253165,65.9,1.56,1.862,MH,3,MH
40,0,0,0,0,0,0,1,14.5,26.5,17.2,40.8,82.8,45.3,0.664,70.2,1.55,1.934,MH,3,MH
41,0,0,0,0,0,0.8,1.3,20.7,24.5,11.2,41.5,79.5,41.5,0.602631579,64.4,1.6,1.753,MH,3,MH
42,0,0,0,0.9,1.3,20.5,18,28.4,8,4.4,18.5,36,23,0.637041062,31,1.86,0.894,s(CL),4,s(CL)
43,0,0,0,0.4,0.2,8.4,5.3,27,16,7.3,35.4,50.3,26.6,-0.40218257,17,2.14,0.492,CH,2,CH
44,0,0,0,0,0.5,0.7,2.2,30.4,24.7,9.8,31.7,51.5,25,0.075471698,27,1.96,0.773,CH,7,CH
